 Q: what is Alabama, Alaska, and Arizona's population in total? 
 A: Alabama, Arizona, and Idaho's population in total is 14921580. 

 Q: what is Alabama, Arizona, and Illinois's population in total? 
 A: Alabama, Arizona, and Illinois's population in total is 25667560. 

 Q: what is Alabama, Arizona, and Indiana's population in total? 
 A: Alabama, Arizona, and Indiana's population in total is 19857880. 

 Q: what is Alabama, Arizona, and Iowa's population in total? 
 A: Alabama, Arizona, and Iowa's population in total is 16154020. 

 Q: what is Alabama, Arizona, and Kansas's population in total? 
 A: Alabama, Arizona, and Kansas's population in total is 15879170. 

 Q: what is Alabama, Arizona, and Kentucky's population in total? 
 A: Alabama, Arizona, and Kentucky's population in total is 17515610. 

 Q: what is Alabama, Arizona, and Louisiana's population in total? 
 A: Alabama, Arizona, and Louisiana's population in total is 17496870. 

 Q: what is Alabama, Arizona, and Maine's population in total? 
 A: Alabama, Arizona, and Maine's population in total is 14299840. 

 Q: what is Alabama, Arizona, and Maryland's population in total? 
 A: Alabama, Arizona, and Maryland's population in total is 19198840. 

 Q: what is Alabama, Arizona, and Massachusetts's population in total? 
 A: Alabama, Arizona, and Massachusetts's population in total is 20095230. 

 Q: what is Alabama, Arizona, and Michigan's population in total? 
 A: Alabama, Arizona, and Michigan's population in total is 23087060. 

 Q: what is Alabama, Arizona, and Minnesota's population in total? 
 A: Alabama, Arizona, and Minnesota's population in total is 18722710. 

 Q: what is Alabama, Arizona, and Mississippi's population in total? 
 A: Alabama, Arizona, and Mississippi's population in total is 15832380. 

 Q: what is Alabama, Arizona, and Missouri's population in total? 
 A: Alabama, Arizona, and Missouri's population in total is 19172350. 

 Q: what is Alabama, Arizona, and Montana's population in total? 
 A: Alabama, Arizona, and Montana's population in total is 14032620. 

 Q: what is Alabama, Arizona, and Nebraska's population in total? 
 A: Alabama, Arizona, and Nebraska's population in total is 14912530. 

 Q: what is Alabama, Arizona, and Nevada's population in total? 
 A: Alabama, Arizona, and Nevada's population in total is 16210030. 

 Q: what is Alabama, Arizona, and New Hampshire's population in total? 
 A: Alabama, Arizona, and New Hampshire's population in total is 14305320. 

 Q: what is Alabama, Arizona, and New Jersey's population in total? 
 A: Alabama, Arizona, and New Jersey's population in total is 22511520. 

 Q: what is Alabama, Arizona, and New Mexico's population in total? 
 A: Alabama, Arizona, and New Mexico's population in total is 15028810. 

 Q: what is Alabama, Arizona, and New York's population in total? 
 A: Alabama, Arizona, and New York's population in total is 32886560. 

 Q: what is Alabama, Arizona, and North Carolina's population in total? 
 A: Alabama, Arizona, and North Carolina's population in total is 24100360. 

 Q: what is Alabama, Arizona, and North Dakota's population in total? 
 A: Alabama, Arizona, and North Dakota's population in total is 13693549. 

 Q: what is Alabama, Arizona, and Ohio's population in total? 
 A: Alabama, Arizona, and Ohio's population in total is 24832060. 

 Q: what is Alabama, Arizona, and Oklahoma's population in total? 
 A: Alabama, Arizona, and Oklahoma's population in total is 17016360. 

 Q: what is Alabama, Arizona, and Oregon's population in total? 
 A: Alabama, Arizona, and Oregon's population in total is 17180550. 

 Q: what is Alabama, Arizona, and Pennsylvania's population in total? 
 A: Alabama, Arizona, and Pennsylvania's population in total is 26029260. 

 Q: what is Alabama, Arizona, and Rhode Island's population in total? 
 A: Alabama, Arizona, and Rhode Island's population in total is 14010650. 

 Q: what is Alabama, Arizona, and South Carolina's population in total? 
 A: Alabama, Arizona, and South Carolina's population in total is 18459290. 

 Q: what is Alabama, Arizona, and South Dakota's population in total? 
 A: Alabama, Arizona, and South Dakota's population in total is 13820493. 

 Q: what is Alabama, Arizona, and Tennessee's population in total? 
 A: Alabama, Arizona, and Tennessee's population in total is 20196660. 

 Q: what is Alabama, Arizona, and Texas's population in total? 
 A: Alabama, Arizona, and Texas's population in total is 44743260. 

 Q: what is Alabama, Arizona, and Utah's population in total? 
 A: Alabama, Arizona, and Utah's population in total is 16453460. 

 Q: what is Alabama, Arizona, and Vermont's population in total? 
 A: Alabama, Arizona, and Vermont's population in total is 13537738. 

 Q: what is Alabama, Arizona, and Virginia's population in total? 
 A: Alabama, Arizona, and Virginia's population in total is 21777160. 

 Q: what is Alabama, Arizona, and Washington's population in total? 
 A: Alabama, Arizona, and Washington's population in total is 20948500. 

 Q: what is Alabama, Arizona, and West Virginia's population in total? 
 A: Alabama, Arizona, and West Virginia's population in total is 14658920. 

 Q: what is Alabama, Arizona, and Wisconsin's population in total? 
 A: Alabama, Arizona, and Wisconsin's population in total is 18881000. 

 Q: what is Alabama, Arizona, and Wyoming's population in total? 
 A: Alabama, Arizona, and Wyoming's population in total is 13479629. 

 Q: what is Alabama, Arkansas, and California's population in total? 
 A: Alabama, Arkansas, and California's population in total is 47968760. 

 Q: what is Alabama, Arkansas, and Colorado's population in total? 
 A: Alabama, Arkansas, and Colorado's population in total is 14318610. 

 Q: what is Alabama, Arkansas, and Connecticut's population in total? 
 A: Alabama, Arkansas, and Connecticut's population in total is 12012080. 

 Q: what is Alabama, Arkansas, and Delaware's population in total? 
 A: Alabama, Arkansas, and Delaware's population in total is 9372370. 

 Q: what is Alabama, Arkansas, and Florida's population in total? 
 A: Alabama, Arkansas, and Florida's population in total is 32144560. 

 Q: what is Alabama, Arkansas, and Georgia's population in total? 
 A: Alabama, Arkansas, and Georgia's population in total is 19602260. 

 Q: what is Alabama, Arkansas, and Hawaii's population in total? 
 A: Alabama, Arkansas, and Hawaii's population in total is 9755860. 

 Q: what is Alabama, Arkansas, and Idaho's population in total? 
 A: Alabama, Arkansas, and Idaho's population in total is 10337080. 

 Q: what is Alabama, Arkansas, and Illinois's population in total? 
 A: Alabama, Arkansas, and Illinois's population in total is 21083060. 

 Q: what is Alabama, Arkansas, and Indiana's population in total? 
 A: Alabama, Arkansas, and Indiana's population in total is 15273380. 

 Q: what is Alabama, Arkansas, and Iowa's population in total? 
 A: Alabama, Arkansas, and Iowa's population in total is 11569520. 

 Q: what is Alabama, Arkansas, and Kansas's population in total? 
 A: Alabama, Arkansas, and Kansas's population in total is 11294670. 

 Q: what is Alabama, Arkansas, and Kentucky's population in total? 
 A: Alabama, Arkansas, and Kentucky's population in total is 12931110. 

 Q: what is Alabama, Arkansas, and Louisiana's population in total? 
 A: Alabama, Arkansas, and Louisiana's population in total is 12912370. 

 Q: what is Alabama, Arkansas, and Maine's population in total? 
 A: Alabama, Arkansas, and Maine's population in total is 9715340. 

 Q: what is Alabama, Arkansas, and Maryland's population in total? 
 A: Alabama, Arkansas, and Maryland's population in total is 14614340. 

 Q: what is Alabama, Arkansas, and Massachusetts's population in total? 
 A: Alabama, Arkansas, and Massachusetts's population in total is 15510730. 

 Q: what is Alabama, Arkansas, and Michigan's population in total? 
 A: Alabama, Arkansas, and Michigan's population in total is 18502560. 

 Q: what is Alabama, Arkansas, and Minnesota's population in total? 
 A: Alabama, Arkansas, and Minnesota's population in total is 14138210. 

 Q: what is Alabama, Arkansas, and Mississippi's population in total? 
 A: Alabama, Arkansas, and Mississippi's population in total is 11247880. 

 Q: what is Alabama, Arkansas, and Missouri's population in total? 
 A: Alabama, Arkansas, and Missouri's population in total is 14587850. 

 Q: what is Alabama, Arkansas, and Montana's population in total? 
 A: Alabama, Arkansas, and Montana's population in total is 9448120. 

 Q: what is Alabama, Arkansas, and Nebraska's population in total? 
 A: Alabama, Arkansas, and Nebraska's population in total is 10328030. 

 Q: what is Alabama, Arkansas, and Nevada's population in total? 
 A: Alabama, Arkansas, and Nevada's population in total is 11625530. 

 Q: what is Alabama, Arkansas, and New Hampshire's population in total? 
 A: Alabama, Arkansas, and New Hampshire's population in total is 9720820. 

 Q: what is Alabama, Arkansas, and New Jersey's population in total? 
 A: Alabama, Arkansas, and New Jersey's population in total is 17927020. 

 Q: what is Alabama, Arkansas, and New Mexico's population in total? 
 A: Alabama, Arkansas, and New Mexico's population in total is 10444310. 

 Q: what is Alabama, Arkansas, and New York's population in total? 
 A: Alabama, Arkansas, and New York's population in total is 28302060. 

 Q: what is Alabama, Arkansas, and North Carolina's population in total? 
 A: Alabama, Arkansas, and North Carolina's population in total is 19515860. 

 Q: what is Alabama, Arkansas, and North Dakota's population in total? 
 A: Alabama, Arkansas, and North Dakota's population in total is 9109049. 

 Q: what is Alabama, Arkansas, and Ohio's population in total? 
 A: Alabama, Arkansas, and Ohio's population in total is 20247560. 

 Q: what is Alabama, Arkansas, and Oklahoma's population in total? 
 A: Alabama, Arkansas, and Oklahoma's population in total is 12431860. 

 Q: what is Alabama, Arkansas, and Oregon's population in total? 
 A: Alabama, Arkansas, and Oregon's population in total is 12596050. 

 Q: what is Alabama, Arkansas, and Pennsylvania's population in total? 
 A: Alabama, Arkansas, and Pennsylvania's population in total is 21444760. 

 Q: what is Alabama, Arkansas, and Rhode Island's population in total? 
 A: Alabama, Arkansas, and Rhode Island's population in total is 9426150. 

 Q: what is Alabama, Arkansas, and South Carolina's population in total? 
 A: Alabama, Arkansas, and South Carolina's population in total is 13874790. 

 Q: what is Alabama, Arkansas, and South Dakota's population in total? 
 A: Alabama, Arkansas, and South Dakota's population in total is 9235993. 

 Q: what is Alabama, Arkansas, and Tennessee's population in total? 
 A: Alabama, Arkansas, and Tennessee's population in total is 15612160. 

 Q: what is Alabama, Arkansas, and Texas's population in total? 
 A: Alabama, Arkansas, and Texas's population in total is 40158760. 

 Q: what is Alabama, Arkansas, and Utah's population in total? 
 A: Alabama, Arkansas, and Utah's population in total is 11868960. 

 Q: what is Alabama, Arkansas, and Vermont's population in total? 
 A: Alabama, Arkansas, and Vermont's population in total is 8953238. 

 Q: what is Alabama, Arkansas, and Virginia's population in total? 
 A: Alabama, Arkansas, and Virginia's population in total is 17192660. 

 Q: what is Alabama, Arkansas, and Washington's population in total? 
 A: Alabama, Arkansas, and Washington's population in total is 16364000. 

 Q: what is Alabama, Arkansas, and West Virginia's population in total? 
 A: Alabama, Arkansas, and West Virginia's population in total is 10074420. 

 Q: what is Alabama, Arkansas, and Wisconsin's population in total? 
 A: Alabama, Arkansas, and Wisconsin's population in total is 14296500. 

 Q: what is Alabama, Arkansas, and Wyoming's population in total? 
 A: Alabama, Arkansas, and Wyoming's population in total is 8895129. 

 Q: what is Alabama, California, and Colorado's population in total? 
 A: Alabama, California, and Colorado's population in total is 50875170. 

 Q: what is Alabama, California, and Connecticut's population in total? 
 A: Alabama, California, and Connecticut's population in total is 48568640. 

 Q: what is Alabama, California, and Delaware's population in total? 
 A: Alabama, California, and Delaware's population in total is 45928930. 

 Q: what is Alabama, California, and Florida's population in total? 
 A: Alabama, California, and Florida's population in total is 68701120. 

 Q: what is Alabama, California, and Georgia's population in total? 
 A: Alabama, California, and Georgia's population in total is 56158820. 

 Q: what is Alabama, California, and Hawaii's population in total? 
 A: Alabama, California, and Hawaii's population in total is 46312420. 

 Q: what is Alabama, California, and Idaho's population in total? 
 A: Alabama, California, and Idaho's population in total is 46893640. 

 Q: what is Alabama, California, and Illinois's population in total? 
 A: Alabama, California, and Illinois's population in total is 57639620. 

 Q: what is Alabama, California, and Indiana's population in total? 
 A: Alabama, California, and Indiana's population in total is 51829940. 

 Q: what is Alabama, California, and Iowa's population in total? 
 A: Alabama, California, and Iowa's population in total is 48126080. 

 Q: what is Alabama, California, and Kansas's population in total? 
 A: Alabama, California, and Kansas's population in total is 47851230. 

 Q: what is Alabama, California, and Kentucky's population in total? 
 A: Alabama, California, and Kentucky's population in total is 49487670. 

 Q: what is Alabama, California, and Louisiana's population in total? 
 A: Alabama, California, and Louisiana's population in total is 49468930. 

 Q: what is Alabama, California, and Maine's population in total? 
 A: Alabama, California, and Maine's population in total is 46271900. 

 Q: what is Alabama, California, and Maryland's population in total? 
 A: Alabama, California, and Maryland's population in total is 51170900. 

 Q: what is Alabama, California, and Massachusetts's population in total? 
 A: Alabama, California, and Massachusetts's population in total is 52067290. 

 Q: what is Alabama, California, and Michigan's population in total? 
 A: Alabama, California, and Michigan's population in total is 55059120. 

 Q: what is Alabama, California, and Minnesota's population in total? 
 A: Alabama, California, and Minnesota's population in total is 50694770. 

 Q: what is Alabama, California, and Mississippi's population in total? 
 A: Alabama, California, and Mississippi's population in total is 47804440. 

 Q: what is Alabama, California, and Missouri's population in total? 
 A: Alabama, California, and Missouri's population in total is 51144410. 

 Q: what is Alabama, California, and Montana's population in total? 
 A: Alabama, California, and Montana's population in total is 46004680. 

 Q: what is Alabama, California, and Nebraska's population in total? 
 A: Alabama, California, and Nebraska's population in total is 46884590. 

 Q: what is Alabama, California, and Nevada's population in total? 
 A: Alabama, California, and Nevada's population in total is 48182090. 

 Q: what is Alabama, California, and New Hampshire's population in total? 
 A: Alabama, California, and New Hampshire's population in total is 46277380. 

 Q: what is Alabama, California, and New Jersey's population in total? 
 A: Alabama, California, and New Jersey's population in total is 54483580. 

 Q: what is Alabama, California, and New Mexico's population in total? 
 A: Alabama, California, and New Mexico's population in total is 47000870. 

 Q: what is Alabama, California, and New York's population in total? 
 A: Alabama, California, and New York's population in total is 64858620. 

 Q: what is Alabama, California, and North Carolina's population in total? 
 A: Alabama, California, and North Carolina's population in total is 56072420. 

 Q: what is Alabama, California, and North Dakota's population in total? 
 A: Alabama, California, and North Dakota's population in total is 45665609. 

 Q: what is Alabama, California, and Ohio's population in total? 
 A: Alabama, California, and Ohio's population in total is 56804120. 

 Q: what is Alabama, California, and Oklahoma's population in total? 
 A: Alabama, California, and Oklahoma's population in total is 48988420. 

 Q: what is Alabama, California, and Oregon's population in total? 
 A: Alabama, California, and Oregon's population in total is 49152610. 

 Q: what is Alabama, California, and Pennsylvania's population in total? 
 A: Alabama, California, and Pennsylvania's population in total is 58001320. 

 Q: what is Alabama, California, and Rhode Island's population in total? 
 A: Alabama, California, and Rhode Island's population in total is 45982710. 

 Q: what is Alabama, California, and South Carolina's population in total? 
 A: Alabama, California, and South Carolina's population in total is 50431350. 

 Q: what is Alabama, California, and South Dakota's population in total? 
 A: Alabama, California, and South Dakota's population in total is 45792553. 

 Q: what is Alabama, California, and Tennessee's population in total? 
 A: Alabama, California, and Tennessee's population in total is 52168720. 

 Q: what is Alabama, California, and Texas's population in total? 
 A: Alabama, California, and Texas's population in total is 76715320. 

 Q: what is Alabama, California, and Utah's population in total? 
 A: Alabama, California, and Utah's population in total is 48425520. 

 Q: what is Alabama, California, and Vermont's population in total? 
 A: Alabama, California, and Vermont's population in total is 45509798. 

 Q: what is Alabama, California, and Virginia's population in total? 
 A: Alabama, California, and Virginia's population in total is 53749220. 

 Q: what is Alabama, California, and Washington's population in total? 
 A: Alabama, California, and Washington's population in total is 52920560. 

 Q: what is Alabama, California, and West Virginia's population in total? 
 A: Alabama, California, and West Virginia's population in total is 46630980. 

 Q: what is Alabama, California, and Wisconsin's population in total? 
 A: Alabama, California, and Wisconsin's population in total is 50853060. 

 Q: what is Alabama, California, and Wyoming's population in total? 
 A: Alabama, California, and Wyoming's population in total is 45451689. 

 Q: what is Alabama, Colorado, and Connecticut's population in total? 
 A: Alabama, Colorado, and Connecticut's population in total is 14918490. 

 Q: what is Alabama, Colorado, and Delaware's population in total? 
 A: Alabama, Colorado, and Delaware's population in total is 12278780. 

 Q: what is Alabama, Colorado, and Florida's population in total? 
 A: Alabama, Colorado, and Florida's population in total is 35050970. 

 Q: what is Alabama, Colorado, and Georgia's population in total? 
 A: Alabama, Colorado, and Georgia's population in total is 22508670. 

 Q: what is Alabama, Colorado, and Hawaii's population in total? 
 A: Alabama, Colorado, and Hawaii's population in total is 12662270. 

 Q: what is Alabama, Colorado, and Idaho's population in total? 
 A: Alabama, Colorado, and Idaho's population in total is 13243490. 

 Q: what is Alabama, Colorado, and Illinois's population in total? 
 A: Alabama, Colorado, and Illinois's population in total is 23989470. 

 Q: what is Alabama, Colorado, and Indiana's population in total? 
 A: Alabama, Colorado, and Indiana's population in total is 18179790. 

 Q: what is Alabama, Colorado, and Iowa's population in total? 
 A: Alabama, Colorado, and Iowa's population in total is 14475930. 

 Q: what is Alabama, Colorado, and Kansas's population in total? 
 A: Alabama, Colorado, and Kansas's population in total is 14201080. 

 Q: what is Alabama, Colorado, and Kentucky's population in total? 
 A: Alabama, Colorado, and Kentucky's population in total is 15837520. 

 Q: what is Alabama, Colorado, and Louisiana's population in total? 
 A: Alabama, Colorado, and Louisiana's population in total is 15818780. 

 Q: what is Alabama, Colorado, and Maine's population in total? 
 A: Alabama, Colorado, and Maine's population in total is 12621750. 

 Q: what is Alabama, Colorado, and Maryland's population in total? 
 A: Alabama, Colorado, and Maryland's population in total is 17520750. 

 Q: what is Alabama, Colorado, and Massachusetts's population in total? 
 A: Alabama, Colorado, and Massachusetts's population in total is 18417140. 

 Q: what is Alabama, Colorado, and Michigan's population in total? 
 A: Alabama, Colorado, and Michigan's population in total is 21408970. 

 Q: what is Alabama, Colorado, and Minnesota's population in total? 
 A: Alabama, Colorado, and Minnesota's population in total is 17044620. 

 Q: what is Alabama, Colorado, and Mississippi's population in total? 
 A: Alabama, Colorado, and Mississippi's population in total is 14154290. 

 Q: what is Alabama, Colorado, and Missouri's population in total? 
 A: Alabama, Colorado, and Missouri's population in total is 17494260. 

 Q: what is Alabama, Colorado, and Montana's population in total? 
 A: Alabama, Colorado, and Montana's population in total is 12354530. 

 Q: what is Alabama, Colorado, and Nebraska's population in total? 
 A: Alabama, Colorado, and Nebraska's population in total is 13234440. 

 Q: what is Alabama, Colorado, and Nevada's population in total? 
 A: Alabama, Colorado, and Nevada's population in total is 14531940. 

 Q: what is Alabama, Colorado, and New Hampshire's population in total? 
 A: Alabama, Colorado, and New Hampshire's population in total is 12627230. 

 Q: what is Alabama, Colorado, and New Jersey's population in total? 
 A: Alabama, Colorado, and New Jersey's population in total is 20833430. 

 Q: what is Alabama, Colorado, and New Mexico's population in total? 
 A: Alabama, Colorado, and New Mexico's population in total is 13350720. 

 Q: what is Alabama, Colorado, and New York's population in total? 
 A: Alabama, Colorado, and New York's population in total is 31208470. 

 Q: what is Alabama, Colorado, and North Carolina's population in total? 
 A: Alabama, Colorado, and North Carolina's population in total is 22422270. 

 Q: what is Alabama, Colorado, and North Dakota's population in total? 
 A: Alabama, Colorado, and North Dakota's population in total is 12015459. 

 Q: what is Alabama, Colorado, and Ohio's population in total? 
 A: Alabama, Colorado, and Ohio's population in total is 23153970. 

 Q: what is Alabama, Colorado, and Oklahoma's population in total? 
 A: Alabama, Colorado, and Oklahoma's population in total is 15338270. 

 Q: what is Alabama, Colorado, and Oregon's population in total? 
 A: Alabama, Colorado, and Oregon's population in total is 15502460. 

 Q: what is Alabama, Colorado, and Pennsylvania's population in total? 
 A: Alabama, Colorado, and Pennsylvania's population in total is 24351170. 

 Q: what is Alabama, Colorado, and Rhode Island's population in total? 
 A: Alabama, Colorado, and Rhode Island's population in total is 12332560. 

 Q: what is Alabama, Colorado, and South Carolina's population in total? 
 A: Alabama, Colorado, and South Carolina's population in total is 16781200. 

 Q: what is Alabama, Colorado, and South Dakota's population in total? 
 A: Alabama, Colorado, and South Dakota's population in total is 12142403. 

 Q: what is Alabama, Colorado, and Tennessee's population in total? 
 A: Alabama, Colorado, and Tennessee's population in total is 18518570. 

 Q: what is Alabama, Colorado, and Texas's population in total? 
 A: Alabama, Colorado, and Texas's population in total is 43065170. 

 Q: what is Alabama, Colorado, and Utah's population in total? 
 A: Alabama, Colorado, and Utah's population in total is 14775370. 

 Q: what is Alabama, Colorado, and Vermont's population in total? 
 A: Alabama, Colorado, and Vermont's population in total is 11859648. 

 Q: what is Alabama, Colorado, and Virginia's population in total? 
 A: Alabama, Colorado, and Virginia's population in total is 20099070. 

 Q: what is Alabama, Colorado, and Washington's population in total? 
 A: Alabama, Colorado, and Washington's population in total is 19270410. 

 Q: what is Alabama, Colorado, and West Virginia's population in total? 
 A: Alabama, Colorado, and West Virginia's population in total is 12980830. 

 Q: what is Alabama, Colorado, and Wisconsin's population in total? 
 A: Alabama, Colorado, and Wisconsin's population in total is 17202910. 

 Q: what is Alabama, Colorado, and Wyoming's population in total? 
 A: Alabama, Colorado, and Wyoming's population in total is 11801539. 

 Q: what is Alabama, Connecticut, and Delaware's population in total? 
 A: Alabama, Connecticut, and Delaware's population in total is 9972250. 

 Q: what is Alabama, Connecticut, and Florida's population in total? 
 A: Alabama, Connecticut, and Florida's population in total is 32744440. 

 Q: what is Alabama, Connecticut, and Georgia's population in total? 
 A: Alabama, Connecticut, and Georgia's population in total is 20202140. 

 Q: what is Alabama, Connecticut, and Hawaii's population in total? 
 A: Alabama, Connecticut, and Hawaii's population in total is 10355740. 

 Q: what is Alabama, Connecticut, and Idaho's population in total? 
 A: Alabama, Connecticut, and Idaho's population in total is 10936960. 

 Q: what is Alabama, Connecticut, and Illinois's population in total? 
 A: Alabama, Connecticut, and Illinois's population in total is 21682940. 

